reg_year,make,model,fuel_type,engine_displacement,engine_power,regs,co2_nedc_avg,mass_running_order_avg
2006,580c168724,612c65fc90,Diesel,1910,74,7,155,1306
2006,580c168724,612c65fc90,Diesel,1910,85,128,155,1330
2006,580c168724,612c65fc90,Diesel,1910,88,3359,153,1326
2006,580c168724,612c65fc90,Diesel,1910,93,91,157,1340
2006,580c168724,612c65fc90,Diesel,1910,110,930,157,1353
2006,580c168724,612c65fc90,Petrol,1598,77,436,196,1250
2006,580c168724,612c65fc90,Petrol,1598,88,852,194,1261
2006,580c168724,612c65fc90,Petrol,1970,110,121,211,1312
2006,580c168724,612c65fc90,Petrol,3179,184,6,287,1410
2006,580c168724,e14581101a,Diesel,1910,85,27,158.3333333,1353.333333
2006,580c168724,e14581101a,Diesel,1910,93,156,160.4871795,1377.897436
2006,580c168724,e14581101a,Diesel,1910,110,289,180.9307958,1539.740484
2006,580c168724,e14581101a,Diesel,2387,129,4,178,1435
2006,580c168724,e14581101a,Petrol,1747,103,3,202,1365
2006,580c168724,75f1554189,Diesel,1910,88,2017,157.5850273,1574.768468
2006,580c168724,75f1554189,Diesel,1910,110,1872,161.1752137,1595.787393
2006,580c168724,75f1554189,Diesel,2387,147,1161,185.2256675,1712.018949
2006,580c168724,75f1554189,Petrol,1796,103,18,187,1538.333333
2006,580c168724,75f1554189,Petrol,1859,118,111,205.4324324,1543.432432
2006,580c168724,75f1554189,Petrol,2198,136,100,221.48,1563.12
2006,580c168724,75f1554189,Petrol,3195,191,31,273.4516129,1741.290323
2006,580c168724,74777f2daf,Diesel,2387,110,4,192,1560
2006,580c168724,74777f2daf,Diesel,2387,129,8,211.875,1605
2006,580c168724,74777f2daf,Diesel,2387,136,112,198,1590
2006,580c168724,74777f2daf,Petrol,3179,177,2,297,1590
2006,580c168724,48a5c05dc3,Diesel,2387,147,536,179,NA
2006,580c168724,48a5c05dc3,Petrol,2198,136,281,221,1520
2006,580c168724,48a5c05dc3,Petrol,3195,191,157,273,1680
2006,580c168724,9f2e186188,Diesel,1910,110,1728,165,1415
2006,580c168724,9f2e186188,Petrol,1747,103,92,202,1340
2006,580c168724,9f2e186188,Petrol,1970,122,145,208,1370
2006,580c168724,9f2e186188,Petrol,3179,177,56,295,1460
2006,580c168724,2099fedf8a,Petrol,1970,121,1,220,1455
2006,580c168724,2099fedf8a,Petrol,2198,136,44,221,NA
2006,580c168724,2099fedf8a,Petrol,3195,191,15,273,NA
2006,580c168724,68c90dd485,Petrol,2959,154,1,NA,NA
2006,b16b476e3c,43ed464238,Petrol,5935,336,57,394,1805.614035
2006,b16b476e3c,385e56968c,Petrol,4282,283,84,406,NA
2006,b16b476e3c,38af0cb503,Petrol,5935,388,7,396,1885
2006,b591e260be,bb851851e7,Diesel,1422,55,17,116,1070
2006,b591e260be,bb851851e7,Diesel,1422,66,11,116,1080
2006,b591e260be,bb851851e7,Petrol,1390,55,6,142,970
2006,b591e260be,4842618727,Diesel,1896,77,5232,134,1371
2006,b591e260be,4842618727,Diesel,1968,100,424,140,1418
2006,b591e260be,4842618727,Diesel,1968,103,9346,145.407661,1426.395035
2006,b591e260be,4842618727,Diesel,1968,125,1001,153.8601399,1427.352647
2006,b591e260be,4842618727,Petrol,1595,75,368,162.326087,1266.63587
2006,b591e260be,4842618727,Petrol,1598,85,391,158,1299
2006,b591e260be,4842618727,Petrol,1984,110,276,172.884058,1356.391304
2006,b591e260be,4842618727,Petrol,1984,147,348,178.2413793,1419.293103
2006,b591e260be,4842618727,Petrol,3189,184,147,235,1560
2006,b591e260be,2c906aa2cf,Diesel,1896,85,4180,153.2811005,1465.62201
2006,b591e260be,2c906aa2cf,Diesel,1968,96,5,159.8,1548
2006,b591e260be,2c906aa2cf,Diesel,1968,103,7576,161.1640707,1525.131996
2006,b591e260be,2c906aa2cf,Diesel,1968,125,364,158.7664835,1480
2006,b591e260be,2c906aa2cf,Diesel,2496,120,279,185.5842294,1613.781362
2006,b591e260be,2c906aa2cf,Diesel,2698,132,441,178.2947846,1606.269841
2006,b591e260be,2c906aa2cf,Diesel,2967,150,186,218.0645161,1723.333333
2006,b591e260be,2c906aa2cf,Diesel,2967,171,1300,218.7253846,1723.572308
2006,b591e260be,2c906aa2cf,Petrol,1595,75,46,184,1350
2006,b591e260be,2c906aa2cf,Petrol,1781,120,173,201.8843931,1530.127168
2006,b591e260be,2c906aa2cf,Petrol,1984,96,173,192.6647399,1417.976879
2006,b591e260be,2c906aa2cf,Petrol,1984,147,199,203.1859296,1547.713568
2006,b591e260be,2c906aa2cf,Petrol,2976,162,1,233,1680
2006,b591e260be,2c906aa2cf,Petrol,3123,188,67,254.3134328,1616.567164
2006,b591e260be,059d51265b,Diesel,1896,96,2,167,1590
2006,b591e260be,059d51265b,Diesel,1968,103,1345,164.6565056,1613.222305
2006,b591e260be,059d51265b,Diesel,2496,132,1,240,1815
2006,b591e260be,059d51265b,Diesel,2698,132,1958,202.4060266,1745.429009
2006,b591e260be,059d51265b,Diesel,2967,165,1500,223.6293333,1837.446667
2006,b591e260be,059d51265b,Diesel,2967,171,1533,226.3848663,1821.727332
2006,b591e260be,059d51265b,Petrol,1984,96,1,202,1500
2006,b591e260be,059d51265b,Petrol,1984,125,59,192.2033898,1592.779661
2006,b591e260be,059d51265b,Petrol,2393,130,95,235.4631579,1625.842105
2006,b591e260be,059d51265b,Petrol,3123,188,131,256.4198473,1725.496183
2006,b591e260be,059d51265b,Petrol,4163,246,11,281,1855
2006,b591e260be,059d51265b,Petrol,4163,257,6,268,1819
2006,b591e260be,059d51265b,Petrol,4172,220,1,314,1865
2006,b591e260be,6e82c0995d,Diesel,2967,171,250,226,1880
2006,b591e260be,6e82c0995d,Diesel,4134,240,132,249,2020
2006,b591e260be,6e82c0995d,Petrol,3123,191,4,262,1835
2006,b591e260be,6e82c0995d,Petrol,3697,206,5,281,1820
2006,b591e260be,6e82c0995d,Petrol,4163,257,21,259,1850
2006,b591e260be,6e82c0995d,Petrol,4172,246,13,286,1851
2006,b591e260be,6e82c0995d,Petrol,5998,331,17,344,2026
2006,b591e260be,20520fc816,Diesel,2496,132,8,259,1875
2006,b591e260be,2d8e721519,Diesel,2967,171,2963,280,2361
2006,b591e260be,2d8e721519,Petrol,4163,257,112,317,2311
2006,b591e260be,1396a1757a,Petrol,4163,309,202,322.7227723,1727.029703
2006,b591e260be,7bcdf2596d,Petrol,1984,195,132,199,1505
2006,b591e260be,4cc6e41097,Petrol,4163,253,64,297.234375,1799.609375
2006,b591e260be,cb215c5feb,Petrol,5204,320,55,319,2004.727273
2006,b591e260be,4b92ec41af,Petrol,5204,331,60,319,1990
2006,b591e260be,da8bc36966,Petrol,1781,120,226,194.9026549,1320.088496
